annotation_id,system_id,query_id,explanation_text_excerpt,annotator_1,annotator_2,annotator_3,majority_label,dim_accuracy_mean,dim_completeness_mean,dim_no_post_hoc_mean,dim_source_mean,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,fleiss_kappa_batch,annotation_date,adjudicated
TI2-0233,S1,S1-Q38279,Explanation excerpt 233 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.91,0.584,0.674,0.724,4,3,5,0.676,2024-12-24,0
TI2-0234,S2,S2-Q32676,Explanation excerpt 234 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.782,0.572,0.864,0.744,5,5,4,0.676,2024-12-01,0
TI2-0235,S3,S3-Q42582,Explanation excerpt 235 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.613,0.588,0.711,0.869,4,5,5,0.676,2024-11-20,0
TI2-0236,S4,S4-Q36081,Explanation excerpt 236 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.63,0.801,0.739,0.742,3,4,4,0.676,2024-10-30,0
TI2-0237,S1,S1-Q28345,Explanation excerpt 237 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.743,0.822,0.745,0.691,4,4,4,0.676,2024-10-23,0
TI2-0238,S2,S2-Q33607,Explanation excerpt 238 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.791,0.531,0.733,0.634,3,4,5,0.676,2024-10-16,0
TI2-0239,S3,S3-Q16386,Explanation excerpt 239 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.706,0.826,0.855,0.652,3,5,4,0.676,2024-12-30,0
TI2-0240,S4,S4-Q17114,Explanation excerpt 240 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.603,0.62,0.897,0.84,5,5,5,0.676,2024-11-21,0
TI2-0241,S1,S1-Q33597,Explanation excerpt 241 from Customer Support Chatbot.,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.946,0.881,0.91,0.634,3,4,5,0.676,2024-10-27,0
TI2-0242,S2,S2-Q22326,Explanation excerpt 242 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.877,0.625,0.706,0.835,4,5,4,0.676,2024-12-29,0
TI2-0243,S3,S3-Q37848,Explanation excerpt 243 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.906,0.622,0.871,0.735,3,4,3,0.676,2024-12-24,0
TI2-0244,S4,S4-Q35233,Explanation excerpt 244 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.705,0.735,0.82,0.562,5,4,5,0.676,2024-10-18,0
TI2-0245,S1,S1-Q37610,Explanation excerpt 245 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.903,0.892,0.711,0.695,5,5,5,0.676,2024-12-08,0
TI2-0246,S2,S2-Q06111,Explanation excerpt 246 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.66,0.77,0.703,0.856,4,5,4,0.676,2024-12-17,0
TI2-0247,S3,S3-Q15273,Explanation excerpt 247 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.702,0.71,0.786,0.686,4,4,3,0.676,2024-10-02,0
TI2-0248,S4,S4-Q35157,Explanation excerpt 248 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.746,0.797,0.767,0.884,3,3,3,0.676,2024-10-27,0
TI2-0249,S1,S1-Q10406,Explanation excerpt 249 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.811,0.876,0.826,0.736,5,5,4,0.676,2024-12-27,0
TI2-0250,S2,S2-Q39640,Explanation excerpt 250 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.883,0.71,0.923,0.875,4,3,4,0.676,2024-11-28,0
TI2-0251,S3,S3-Q45896,Explanation excerpt 251 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.895,0.817,0.767,0.855,5,4,4,0.689,2024-10-23,0
TI2-0252,S4,S4-Q43194,Explanation excerpt 252 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.664,0.727,0.768,0.9,4,4,4,0.689,2024-10-31,0
TI2-0253,S1,S1-Q04375,Explanation excerpt 253 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.844,0.789,0.715,0.733,5,4,5,0.689,2024-12-10,0
TI2-0254,S2,S2-Q29553,Explanation excerpt 254 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.658,0.583,0.663,0.56,5,4,4,0.689,2024-12-21,0
TI2-0255,S3,S3-Q25997,Explanation excerpt 255 from Document Summarization and QA.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.613,0.6,0.863,0.6,5,4,3,0.689,2024-12-25,0
TI2-0256,S4,S4-Q46766,Explanation excerpt 256 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.933,0.556,0.896,0.861,5,5,3,0.689,2024-10-22,0
TI2-0257,S1,S1-Q25615,Explanation excerpt 257 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.659,0.769,0.653,0.651,3,5,5,0.689,2024-11-26,0
TI2-0258,S2,S2-Q28971,Explanation excerpt 258 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.844,0.835,0.893,0.787,5,5,3,0.689,2024-12-31,0
TI2-0259,S3,S3-Q00306,Explanation excerpt 259 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.617,0.651,0.711,0.642,4,3,5,0.689,2024-10-31,0
TI2-0260,S4,S4-Q44562,Explanation excerpt 260 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.834,0.588,0.915,0.845,3,4,3,0.689,2024-12-25,0
TI2-0261,S1,S1-Q36835,Explanation excerpt 261 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.819,0.75,0.93,0.696,3,4,4,0.689,2024-11-24,0
TI2-0262,S2,S2-Q42861,Explanation excerpt 262 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.711,0.656,0.788,0.574,3,3,4,0.689,2024-11-05,0
TI2-0263,S3,S3-Q39248,Explanation excerpt 263 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.775,0.896,0.864,0.843,3,4,4,0.689,2024-12-12,0
TI2-0264,S4,S4-Q44427,Explanation excerpt 264 from Medical Triage Assistant.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.924,0.809,0.69,0.615,5,5,4,0.689,2024-12-28,0
TI2-0265,S1,S1-Q38341,Explanation excerpt 265 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.757,0.704,0.873,0.736,4,3,5,0.689,2024-12-30,0
TI2-0266,S2,S2-Q48360,Explanation excerpt 266 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.75,0.597,0.674,0.601,3,4,3,0.689,2024-12-03,1
TI2-0267,S3,S3-Q39196,Explanation excerpt 267 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.946,0.677,0.913,0.6,3,3,5,0.689,2024-11-10,0
TI2-0268,S4,S4-Q49189,Explanation excerpt 268 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.608,0.839,0.749,0.64,4,5,4,0.689,2024-12-09,0
TI2-0269,S1,S1-Q14579,Explanation excerpt 269 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,UNFAITHFUL,UNFAITHFUL,0.813,0.653,0.746,0.714,5,5,5,0.689,2024-10-01,0
TI2-0270,S2,S2-Q13384,Explanation excerpt 270 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.644,0.569,0.815,0.844,3,5,3,0.689,2024-10-27,0
TI2-0271,S3,S3-Q12946,Explanation excerpt 271 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.686,0.571,0.725,0.656,4,3,5,0.689,2024-11-27,0
TI2-0272,S4,S4-Q26100,Explanation excerpt 272 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.732,0.688,0.777,0.775,4,3,4,0.689,2024-11-25,1
TI2-0273,S1,S1-Q05455,Explanation excerpt 273 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.866,0.869,0.829,0.607,3,4,4,0.689,2024-10-23,0
TI2-0274,S2,S2-Q31513,Explanation excerpt 274 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.625,0.555,0.791,0.607,4,5,5,0.689,2024-10-25,0
TI2-0275,S3,S3-Q27252,Explanation excerpt 275 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.929,0.888,0.762,0.731,4,4,4,0.689,2024-12-22,0
TI2-0276,S4,S4-Q10641,Explanation excerpt 276 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.668,0.675,0.727,0.888,3,4,5,0.689,2024-11-14,1
TI2-0277,S1,S1-Q25254,Explanation excerpt 277 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.924,0.794,0.723,0.563,5,3,5,0.689,2024-11-16,0
TI2-0278,S2,S2-Q39678,Explanation excerpt 278 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.759,0.772,0.726,0.773,5,3,4,0.689,2024-12-24,0
TI2-0279,S3,S3-Q26062,Explanation excerpt 279 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.847,0.89,0.674,0.887,5,5,4,0.689,2024-11-24,0
TI2-0280,S4,S4-Q25087,Explanation excerpt 280 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.805,0.794,0.876,0.892,5,5,5,0.689,2024-10-12,0
TI2-0281,S1,S1-Q13732,Explanation excerpt 281 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.926,0.659,0.742,0.915,3,4,5,0.689,2024-12-02,0
TI2-0282,S2,S2-Q18897,Explanation excerpt 282 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.857,0.568,0.762,0.81,5,4,5,0.689,2024-10-26,0
TI2-0283,S3,S3-Q13169,Explanation excerpt 283 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.621,0.573,0.878,0.646,5,3,3,0.689,2024-11-22,0
TI2-0284,S4,S4-Q19211,Explanation excerpt 284 from Medical Triage Assistant.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.63,0.55,0.669,0.561,5,3,3,0.689,2024-10-31,0
TI2-0285,S1,S1-Q43603,Explanation excerpt 285 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.804,0.895,0.679,0.743,3,4,3,0.689,2024-10-01,0
TI2-0286,S2,S2-Q49605,Explanation excerpt 286 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.718,0.672,0.761,0.879,4,4,4,0.689,2024-11-10,0
TI2-0287,S3,S3-Q23333,Explanation excerpt 287 from Document Summarization and QA.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.906,0.823,0.651,0.872,4,5,3,0.689,2024-11-21,1
TI2-0288,S4,S4-Q18316,Explanation excerpt 288 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.933,0.801,0.725,0.717,5,3,5,0.689,2024-12-27,0
TI2-0289,S1,S1-Q21115,Explanation excerpt 289 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.606,0.644,0.664,0.849,3,3,5,0.689,2024-11-11,0
TI2-0290,S2,S2-Q22829,Explanation excerpt 290 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.75,0.873,0.929,0.915,5,5,3,0.689,2024-12-29,0
TI2-0291,S3,S3-Q34083,Explanation excerpt 291 from Document Summarization and QA.,UNFAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.907,0.814,0.865,0.562,3,5,3,0.689,2024-12-03,1
TI2-0292,S4,S4-Q29248,Explanation excerpt 292 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.934,0.693,0.812,0.64,5,4,3,0.689,2024-10-22,0
TI2-0293,S1,S1-Q10502,Explanation excerpt 293 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.925,0.631,0.765,0.654,4,5,3,0.689,2024-11-02,0
TI2-0294,S2,S2-Q41521,Explanation excerpt 294 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.854,0.536,0.858,0.873,5,3,5,0.689,2024-12-13,0
TI2-0295,S3,S3-Q48235,Explanation excerpt 295 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.854,0.762,0.886,0.908,4,5,5,0.689,2024-11-25,0
TI2-0296,S4,S4-Q22298,Explanation excerpt 296 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.859,0.875,0.873,0.593,3,3,3,0.689,2024-11-17,0
TI2-0297,S1,S1-Q04056,Explanation excerpt 297 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.807,0.576,0.766,0.707,5,3,4,0.689,2024-11-16,0
TI2-0298,S2,S2-Q14559,Explanation excerpt 298 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.637,0.504,0.906,0.667,5,5,5,0.689,2024-11-07,1
TI2-0299,S3,S3-Q48960,Explanation excerpt 299 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.833,0.821,0.861,0.772,5,4,3,0.689,2024-11-09,0
TI2-0300,S4,S4-Q41359,Explanation excerpt 300 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.89,0.698,0.861,0.689,5,5,4,0.689,2024-11-12,0
TI2-0301,S1,S1-Q03445,Explanation excerpt 301 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.923,0.81,0.907,0.819,3,5,5,0.64,2024-11-08,0
TI2-0302,S2,S2-Q22113,Explanation excerpt 302 from AI Code Assistant IDE Plugin.,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.748,0.689,0.754,0.695,3,5,4,0.64,2024-10-10,0
TI2-0303,S3,S3-Q25807,Explanation excerpt 303 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.634,0.629,0.887,0.87,3,5,5,0.64,2024-10-07,0
TI2-0304,S4,S4-Q28960,Explanation excerpt 304 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.844,0.616,0.693,0.631,3,5,3,0.64,2024-10-26,0
TI2-0305,S1,S1-Q09674,Explanation excerpt 305 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.732,0.893,0.854,0.612,5,3,5,0.64,2024-10-08,0
TI2-0306,S2,S2-Q42605,Explanation excerpt 306 from AI Code Assistant IDE Plugin.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.718,0.674,0.695,0.817,3,3,5,0.64,2024-11-01,0
TI2-0307,S3,S3-Q42782,Explanation excerpt 307 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.861,0.81,0.947,0.798,5,5,3,0.64,2024-10-12,0
TI2-0308,S4,S4-Q29172,Explanation excerpt 308 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.729,0.548,0.675,0.731,4,5,5,0.64,2024-12-25,0
TI2-0309,S1,S1-Q45465,Explanation excerpt 309 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.861,0.818,0.704,0.729,5,4,4,0.64,2024-12-22,1
TI2-0310,S2,S2-Q35227,Explanation excerpt 310 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.665,0.825,0.656,0.756,4,3,5,0.64,2024-12-08,0
TI2-0311,S3,S3-Q42710,Explanation excerpt 311 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.643,0.801,0.94,0.882,5,5,5,0.64,2024-10-24,0
TI2-0312,S4,S4-Q02566,Explanation excerpt 312 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.645,0.582,0.698,0.758,4,4,3,0.64,2024-10-05,0
TI2-0313,S1,S1-Q43134,Explanation excerpt 313 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.6,0.62,0.934,0.742,5,3,4,0.64,2024-11-07,0
TI2-0314,S2,S2-Q23077,Explanation excerpt 314 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.812,0.704,0.856,0.795,5,4,5,0.64,2024-10-06,0
TI2-0315,S3,S3-Q36181,Explanation excerpt 315 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.676,0.644,0.689,0.78,3,3,5,0.64,2024-10-10,0
TI2-0316,S4,S4-Q05457,Explanation excerpt 316 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.931,0.771,0.932,0.603,3,4,4,0.64,2024-10-27,0
TI2-0317,S1,S1-Q46822,Explanation excerpt 317 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.73,0.763,0.896,0.774,5,5,3,0.64,2024-11-23,1
TI2-0318,S2,S2-Q16221,Explanation excerpt 318 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.627,0.55,0.683,0.753,4,3,5,0.64,2024-10-09,0
TI2-0319,S3,S3-Q17934,Explanation excerpt 319 from Document Summarization and QA.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.603,0.651,0.941,0.69,4,3,3,0.64,2024-10-14,0
TI2-0320,S4,S4-Q06262,Explanation excerpt 320 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.785,0.78,0.91,0.754,4,5,4,0.64,2024-12-17,0
TI2-0321,S1,S1-Q48582,Explanation excerpt 321 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.837,0.815,0.816,0.876,4,3,4,0.64,2024-11-21,0
TI2-0322,S2,S2-Q43095,Explanation excerpt 322 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.644,0.652,0.871,0.57,5,5,3,0.64,2024-12-21,0
TI2-0323,S3,S3-Q30002,Explanation excerpt 323 from Document Summarization and QA.,UNFAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.664,0.894,0.89,0.736,5,4,5,0.64,2024-11-05,1
TI2-0324,S4,S4-Q05698,Explanation excerpt 324 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.932,0.663,0.744,0.583,3,4,5,0.64,2024-10-11,0
TI2-0325,S1,S1-Q48721,Explanation excerpt 325 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.7,0.872,0.893,0.554,5,3,3,0.64,2024-11-24,0
TI2-0326,S2,S2-Q44354,Explanation excerpt 326 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.911,0.779,0.772,0.778,4,5,5,0.64,2024-10-01,1
TI2-0327,S3,S3-Q34611,Explanation excerpt 327 from Document Summarization and QA.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.839,0.517,0.785,0.612,3,5,5,0.64,2024-12-07,0
TI2-0328,S4,S4-Q03337,Explanation excerpt 328 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.748,0.652,0.762,0.592,3,5,4,0.64,2024-12-26,0
TI2-0329,S1,S1-Q31663,Explanation excerpt 329 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.703,0.585,0.871,0.76,3,4,4,0.64,2024-10-28,0
TI2-0330,S2,S2-Q40485,Explanation excerpt 330 from AI Code Assistant IDE Plugin.,UNFAITHFUL,UNFAITHFUL,UNFAITHFUL,UNFAITHFUL,0.897,0.523,0.652,0.72,5,3,4,0.64,2024-11-08,0
TI2-0331,S3,S3-Q00581,Explanation excerpt 331 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.635,0.697,0.675,0.74,3,4,4,0.64,2024-10-20,0
TI2-0332,S4,S4-Q30848,Explanation excerpt 332 from Medical Triage Assistant.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.738,0.62,0.779,0.617,5,4,3,0.64,2024-11-04,0
TI2-0333,S1,S1-Q48962,Explanation excerpt 333 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.752,0.644,0.911,0.623,3,3,4,0.64,2024-10-25,0
TI2-0334,S2,S2-Q43661,Explanation excerpt 334 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.67,0.692,0.85,0.648,4,3,3,0.64,2024-11-23,0
TI2-0335,S3,S3-Q32890,Explanation excerpt 335 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.854,0.797,0.898,0.599,3,4,4,0.64,2024-10-14,0
TI2-0336,S4,S4-Q03411,Explanation excerpt 336 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.837,0.637,0.943,0.823,3,5,3,0.64,2024-11-25,0
TI2-0337,S1,S1-Q09994,Explanation excerpt 337 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.855,0.575,0.734,0.593,4,3,5,0.64,2024-11-03,0
TI2-0338,S2,S2-Q06755,Explanation excerpt 338 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.845,0.701,0.704,0.917,3,4,5,0.64,2024-12-15,1
TI2-0339,S3,S3-Q12595,Explanation excerpt 339 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.925,0.671,0.835,0.584,4,3,4,0.64,2024-10-07,0
TI2-0340,S4,S4-Q27924,Explanation excerpt 340 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.768,0.704,0.843,0.663,3,3,4,0.64,2024-11-04,0
TI2-0341,S1,S1-Q11912,Explanation excerpt 341 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.614,0.521,0.873,0.628,3,4,3,0.64,2024-11-30,1
TI2-0342,S2,S2-Q21908,Explanation excerpt 342 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.707,0.539,0.654,0.754,4,4,4,0.64,2024-10-17,0
TI2-0343,S3,S3-Q24353,Explanation excerpt 343 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.683,0.61,0.825,0.582,5,5,5,0.64,2024-10-14,0
TI2-0344,S4,S4-Q12644,Explanation excerpt 344 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.847,0.87,0.672,0.752,5,5,3,0.64,2024-11-13,0
TI2-0345,S1,S1-Q02872,Explanation excerpt 345 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.645,0.667,0.863,0.88,5,5,3,0.64,2024-12-11,0
TI2-0346,S2,S2-Q04438,Explanation excerpt 346 from AI Code Assistant IDE Plugin.,UNFAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.769,0.71,0.936,0.843,5,3,4,0.64,2024-10-22,0
TI2-0347,S3,S3-Q45470,Explanation excerpt 347 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.667,0.826,0.799,0.747,3,5,3,0.64,2024-12-05,0
TI2-0348,S4,S4-Q26271,Explanation excerpt 348 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.813,0.583,0.651,0.762,4,5,4,0.64,2024-12-15,1
